system:index,EvltnID,PctSlop,PrtclRL,elevation,.geo
00000000000000000726_0,RS-RV-12777_2019-08-15,0.04,601.0,1856.3671,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-109.63714811330651,41.464773752620395]}"
00000000000000000d38_0,FR-TR-1097_2017-09-23,0.04,662.0,2275.3784,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-105.73050070681049,37.18281022041924]}"
00000000000000000d37_0,FR-TR-1097_2019-09-16,0.04,1139.0,2275.076,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-105.7320727585577,37.18475956458578]}"
00000000000000000207_0,CAS-LS-1023_2022-09-02,0.05,150.0,1795.419,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.058614938617,42.94521530715505]}"
000000000000000002a8_0,XS-RO-6088_2022-07-30,0.05,150.0,1641.095,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-115.25535563063545,41.11664963056556]}"
0000000000000000045c_0,RS-TR-25632_2021-07-06,0.05,150.0,2103.734,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-109.24896811273278,42.342535583039265]}"
000000000000000006ae_0,RA-TR-1449_2017-06-06,0.05,150.0,1932.7878,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.66175280352769,41.148189480191]}"
000000000000000008e2_0,SB-LS-23795_2017-07-25,0.05,150.0,559.72626,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.20942950985113,47.29932253982385]}"
00000000000000000983_0,GWS-SR-37756_2020-07-04,0.05,150.0,1248.2913,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.29663729599001,38.7368058304176]}"
00000000000000000cb4_0,TR-LS-10674_2016-06-22,0.05,150.0,1758.8586,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-108.76811790744928,37.447983909138486]}"
00000000000000000971_0,PR-RV-11132_2016-06-07,0.05,172.0,1622.0957,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.68171810883354,39.508126282821145]}"
0000000000000000019a_0,RS-LS-12649_2023-06-09,0.05,228.0,2074.3833,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-109.25169000804367,42.234665883722194]}"
000000000000000004b1_0,PR-TR-11769_2021-09-24,0.05,239.0,1265.8821,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.36263651991428,38.80748527697212]}"
