system:index,EvltnID,PctSlop,PrtclRL,elevation,.geo
00000000000000000108_0,OT-RO-7102_2022-08-04,0.06,261.0,737.78937,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-104.90021252469796,46.61187492171184]}"
0000000000000000024a_0,PR-RV-10172_2022-05-19,0.06,201.0,1547.5171,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.61906728645965,39.05093483835301]}"
000000000000000002c1_0,RA-RV-10578_2021-08-18,0.06,611.0,1948.01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.58320620949588,42.003158188068454]}"
0000000000000000047a_0,OW-TR-28215_2021-07-12,0.06,180.0,1504.1481,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-116.72859936528495,42.818109813819305]}"
000000000000000005eb_0,KN-RV-10217_2017-08-29,0.06,610.0,1930.6705,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.16883166605896,41.52732058207208]}"
00000000000000000717_0,MN-RO-1085_2015-09-28,0.06,250.0,1282.5875,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.18854593931783,43.731606626238694]}"
00000000000000000892_0,MB-RV-10514_2017-08-15,0.06,575.0,1256.3612,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-109.26135356604142,38.81683387531307]}"
00000000000000000918_0,PR-LS-16415_2017-08-24,0.06,247.0,1281.244,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.50745701374396,43.684714568407706]}"
000000000000000000c1_0,SH-RV-1036_2022-08-18,0.07,231.0,1120.7406,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-114.60067012026259,42.954474073948326]}"
00000000000000000256_0,PR-TR-012_2022-05-16,0.07,203.0,1192.5043,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.04347259521437,43.96983983958688]}"
000000000000000003fa_0,OT-RO-7095_2021-07-24,0.07,162.0,692.5778,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.55159008577674,48.08978322714934]}"
00000000000000000577_0,RA-RV-10578_2016-07-21,0.07,595.0,1948.02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.5832960410243,42.002978525011635]}"
000000000000000005c4_0,KS-LS-17249_2017-08-22,0.07,249.0,2269.1992,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.69811903146217,42.110506864520374]}"
000000000000000007e2_0,PR-RV-10684_2016-09-13,0.07,185.0,1558.2722,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.68967486779145,39.08336402010951]}"
000000000000000007f1_0,GWS-SR-37756_2018-06-05,0.07,156.0,1250.2762,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.29486530042094,38.736883815027]}"
