system:index,EvltnID,PctSlop,PrtclRL,elevation,.geo
00000000000000000422_0,OT-LS-7072_2021-08-05,0.0,317.0,744.79376,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.91828012493184,48.86093586343154]}"
000000000000000005e8_0,KN-RV-17065_2019-09-16,0.0,216.0,1926.5133,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.22093626699727,41.54736485984235]}"
00000000000000000b15_0,TR-RV-12850_2018-07-05,0.0,274.0,1631.0742,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-108.86951075356785,38.10465238182985]}"
00000000000000000198_0,FI-RV-21516_2022-07-10,0.01,564.0,1487.87,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-112.11638151648945,39.54491229370584]}"
000000000000000003a3_0,XN-RO-4083_2021-09-03,0.01,378.0,1552.6938,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-114.7048859908327,41.97335495072466]}"
00000000000000000637_0,XS-RM-6076_2014-08-14,0.01,530.0,1388.56,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-112.78367705899196,39.28110404421846]}"
0000000000000000065b_0,XN-RO-4083_2013-07-18,0.01,560.0,1552.5918,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-114.70379902933891,41.97339986648887]}"
000000000000000007d4_0,PR-TR-99979_2020-07-03,0.01,172.0,1244.0043,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.25142508774027,38.73065237072138]}"
000000000000000007e6_0,PR-RV-10172_2016-07-27,0.01,199.0,1538.6875,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.61900671884915,39.05080295482874]}"
0000000000000000010e_0,ENO-LS-1109_2022-08-03,0.03,184.0,1796.707,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-115.2830596739977,41.54775113541452]}"
00000000000000000238_0,OT-SS-7149_2022-05-26,0.03,205.0,763.13245,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.85617958934066,48.93869403442493]}"
000000000000000003cf_0,ENO-LS-1061_2021-07-09,0.03,200.0,1849.7985,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-115.35333487867437,41.57676671909158]}"
000000000000000004b9_0,UC-RV-10317_2021-06-23,0.03,430.0,1482.6244,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-108.80631427333005,38.36939487921272]}"
000000000000000006ad_0,OT-LS-7016_2013-09-20,0.03,400.0,768.52625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-109.32740002018926,48.8084832339918]}"
00000000000000000b0b_0,UC-RV-10317_2016-07-20,0.03,442.0,1482.4927,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-108.80625139126016,38.36935894660135]}"
00000000000000000593_0,RS-RV-12777_2019-08-15,0.04,601.0,1855.76,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-109.63560301101782,41.467684294140945]}"
00000000000000000b96_0,FR-TR-1325_2019-09-16,0.04,431.0,2298.5532,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-105.81404402823361,37.289395328880026]}"
00000000000000000ba4_0,FR-TR-1097_2019-09-16,0.04,1139.0,2273.5056,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-105.73173139874973,37.175605731840605]}"
00000000000000000ba5_0,FR-TR-1097_2017-09-23,0.04,662.0,2273.52,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-105.73061748779743,37.177348463491796]}"
00000000000000000007_0,RS-LS-12649_2023-06-09,0.05,228.0,2074.008,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-109.25416037507499,42.23515097397562]}"
0000000000000000031e_0,PR-TR-11769_2021-09-24,0.05,239.0,1265.693,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.36168430571311,38.80615577035163]}"
000000000000000005c3_0,KS-LS-17249_2018-07-02,0.05,330.0,2269.3684,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.69805846385167,42.11055464406824]}"
000000000000000006fa_0,MP-RM-2051_2015-08-14,0.05,630.0,334.32013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.28691410821001,39.57816792552394]}"
000000000000000007de_0,PR-RV-11132_2016-06-07,0.05,172.0,1620.1523,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.68138573217841,39.506617113143825]}"
00000000000000000b9b_0,FR-TR-1267_2019-09-17,0.05,1133.0,2269.8652,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-105.74658953354907,37.13890955248432]}"
00000000000000000bf1_0,NW-TR-001_2016-08-03,0.05,310.0,2241.4934,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.39565825893679,40.08113465310247]}"
00000000000000000bfd_0,LS-RV-10953_2017-09-18,0.05,1270.0,1787.2443,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-108.17027111956206,40.78534197062944]}"
000000000000000000d0_0,LA-RV-28229_2022-08-04,0.06,284.0,1834.7172,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.35009129885526,42.4717672198127]}"
000000000000000000e4_0,RG-LS-12873_2022-08-08,0.06,216.0,2987.954,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.34122035271915,39.2749416013694]}"
0000000000000000024a_0,PR-RV-10172_2022-05-19,0.06,201.0,1538.7554,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.61908756722472,39.05095566842704]}"
000000000000000002c1_0,RA-RV-10578_2021-08-18,0.06,611.0,1948.01,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.58318157449673,42.00312511924039]}"
000000000000000005eb_0,KN-RV-10217_2017-08-29,0.06,610.0,1930.4033,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.16884296367117,41.527305479547955]}"
00000000000000000717_0,MN-RO-1085_2015-09-28,0.06,250.0,1282.3915,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.188503338013,43.73162745633181]}"
00000000000000000892_0,MB-RV-10514_2017-08-15,0.06,575.0,1255.0752,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-109.26139181311216,38.81683673907981]}"
00000000000000000577_0,RA-RV-10578_2016-07-21,0.07,595.0,1948.02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.58333428809505,42.00301732140629]}"
000000000000000005c4_0,KS-LS-17249_2017-08-22,0.07,249.0,2269.8115,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.69810337961587,42.110527694609715]}"
000000000000000007e2_0,PR-RV-10684_2016-09-13,0.07,185.0,1560.0568,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.689668199098,39.083384850183755]}"
000000000000000007f1_0,GWS-SR-37756_2018-06-05,0.07,156.0,1248.6125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.29487659803314,38.73687769564033]}"
