system:index,EvltnID,PctSlop,PrtclRL,elevation,.geo
00000000000000000032_0,RI-TR-63084_2023-05-28,0.0,150.0,2128.7551,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-111.5964343155817,38.350967568972074]}"
000000000000000005b9_0,OT-LS-7008_2021-08-07,0.0,150.0,762.38727,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-104.81837600231468,46.582140685807424]}"
00000000000000000e3f_0,RI-TR-63084_2023-05-28,0.0,150.0,2128.6714,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-111.59526650571235,38.34997942215955]}"
0000000000000000031d_0,BI-TR-53002_2022-07-09,0.0,179.0,1278.4888,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-118.40332854946898,37.45094548581994]}"
0000000000000000077b_0,KN-RV-17065_2019-09-16,0.0,216.0,1926.5781,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.21904749044124,41.54753267596469]}"
00000000000000000ca8_0,TR-RV-12850_2018-07-05,0.0,274.0,1630.3248,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-108.87202372190401,38.10303255055698]}"
000000000000000005b5_0,OT-LS-7072_2021-08-05,0.0,317.0,747.3955,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.916211685319,48.86350218136461]}"
000000000000000003ca_0,OT-LS-7011_2022-05-27,0.01,150.0,665.9399,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.76206078256408,47.96042582623567]}"
000000000000000006a9_0,RA-TR-25808_2020-07-08,0.01,150.0,2067.7217,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-108.05689243309396,41.43021269985915]}"
000000000000000006bd_0,RA-TR-1254_2018-06-07,0.01,150.0,1985.4011,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.76718575396542,41.32475048550395]}"
00000000000000000708_0,RA-RV-17925_2020-07-09,0.01,150.0,1962.2362,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.67852203542282,41.24803436024046]}"
00000000000000000935_0,SL-SS-16353_2017-05-30,0.01,150.0,1314.9978,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-112.74025916685109,40.56522491278439]}"
0000000000000000093a_0,SL-SS-12513_2016-08-03,0.01,150.0,1294.9572,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-112.74609821619786,40.65757172399141]}"
00000000000000000953_0,GS-TR-82602_2020-09-03,0.01,150.0,1627.9303,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-111.47156849108909,37.77523730338439]}"
00000000000000000977_0,PR-RV-10492_2018-06-11,0.01,150.0,1398.7771,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.27591084792601,39.24955234767053]}"
00000000000000000a4f_0,SL-SS-16353_2017-06-27,0.01,150.0,1315.4594,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-112.74034899837952,40.56531474431279]}"
00000000000000000ae0_0,LK-LS-1041_2019-06-27,0.01,150.0,1553.5897,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.013114112893,42.18677383214188]}"
